date,url,title,summary,publishing date,id,new_id
28/1/2026,https://www.businesstimes.com.sg/international/asean/ecoceres-opens-malaysias-first-sustainable-aviation-fuel-plant-johor,EcoCeres Opens Malaysia's First Commercial Sustainable Aviation Fuel Plant,"EcoCeres officially launched Malaysia's first commercial-scale sustainable aviation fuel production facility in Johor's Tanjung Langsat industrial area on January 26, with an annual production capacity of 420,000 tonnes. The facility, backed by Bain Capital, began commercial operations in October and represents a significant milestone for the country's renewable fuels sector and aviation decarbonization efforts.

The plant positions Malaysia as a regional hub for sustainable aviation fuel production, leveraging access to feedstock from South-east Asia and established seaborne logistics networks. EcoCeres, now the world's second-largest sustainable aviation fuel producer, targets Europe as its primary market due to regulatory blending mandates, while simultaneously developing demand in Asia-Pacific markets including South-east Asia, Australia, New Zealand, and Singapore.",1/26/26 13:24,26a,
28/1/2026,https://biomassmagazine.com/articles/drax-launches-new-biomass-tracker-to-boost-transparency-across-biomass-supply-chain,Multiple Renewable Fuel and Clean Energy Projects Advance Globally,"Several developments in the renewable and clean energy sectors occurred in January 2026. CVR Energy completed the reversion of its Wynnewood refinery's renewable diesel unit back to hydrocarbon processing in December while retaining future renewable production capability. The U.K. Department of Transport announced £43 million in funding for green aviation projects including clean fuels and zero-emission aircraft. LanzaTech Global closed a $20 million funding round from investors including new backer SiteGround for its carbon recycling operations. EcoCeres officially opened Malaysia's first sustainable aviation fuel production facility in Pasir Gudang, Johor. The USDA's Rural Business Cooperative Service implemented a 90-day pause on loan guarantee processing for biodigester projects.",1/28/26 1:18,14a,
28/1/2026,https://www.openpr.com/news/4363922/carbon-credit-market-future-landscape-and-industry-evolution,Global Carbon Credit Market Projected To Reach 7.1 Trillion By 2034,"InsightAce Analytic released a comprehensive market assessment report projecting significant expansion of the global carbon credit market. The market was valued at USD 531.2 billion in 2024 and is anticipated to grow to USD 7126.6 billion by 2034, representing a compound annual growth rate of 29.8% over the 2025-2034 forecast period. The analysis covers both voluntary and compliance market segments, including various project types such as avoidance, reduction, and nature-based or technology-based removal initiatives across multiple sectors including aviation, energy, building, power, industrial, and transportation applications.

The report examines market drivers including increased institutional investment from banks, venture capital firms, and alternative financing entities seeking opportunities in the carbon credit ecosystem. The analysis addresses carbon credits as verified, quantifiable emission reductions generated through defined projects adhering to established standards with documented ownership and rigorous monitoring processes. Notable market participants include organizations such as 3 Degrees, Carbon Credit Capital, Climate Impact Partners, EcoAct, and South Pole Group, alongside international institutions like the World Bank's Climate Change Fund Management Unit established to support climate-resilient development and low-carbon technology advancement.",1/27/26 6:35,16a,
1/30/2026,https://www.openpr.com/news/4368705/carbon-offset-and-carbon-credit-industry-growth-analysis-from,Carbon Offset And Credit Industry Projected To Reach USD 20 Trillion By 2035,"The carbon offset and carbon credit industry is expected to grow from USD 1.25 trillion in 2025 to USD 20.06 trillion by 2035, representing a compound annual growth rate of 32.02 percent. The market functions as a key mechanism for addressing global greenhouse gas emissions through instruments that quantify reductions or removals of carbon dioxide and other gases, generated via projects such as renewable energy deployment, reforestation, methane capture, and energy efficiency improvements.
 
 Multiple interconnected factors are driving market expansion, including increasing regulatory pressure from governments and international climate agreements, corporate net-zero commitments, rising consumer and investor awareness of climate impacts, expansion of emissions trading systems across regions, and growth in climate finance mechanisms. Technological advances in digital monitoring, satellite imagery, remote sensing, data analytics, artificial intelligence, and blockchain are enhancing transparency, credibility, and scalability of the market by improving verification accuracy, reducing fraud risks, and addressing historical concerns around double counting and standardization challenges.",1/29/2026 10:14,39c,
28/1/2026,https://carboncredits.com/100b-at-stake-new-joint-venture-builds-digital-backbone-for-article-6-carbon-markets/,Joint Venture Launches Digital Infrastructure Supporting Article 6 Paris Agreement Carbon Markets,"A new partnership among technology firms Aleria, Tawasal, and Xange.com has been established to develop digital systems supporting carbon mitigation efforts under Article 6 of the Paris Agreement. The joint venture aims to create a carbon mitigation pipeline valued at over US$100 billion, focusing on forest and nature-based internationally transferred mitigation outcomes across Africa, South America, the Middle East, and Asia. The collaboration will build digital monitoring, reporting, and verification systems alongside a global infrastructure platform called GEMIS to facilitate emissions tracking and verification.

The joint venture addresses a critical need for robust digital infrastructure to implement Article 6 mechanisms, which enable countries to cooperate on emissions reductions and transfer mitigation outcomes across borders toward their climate targets. The partnership will establish a central registry and settlement platform with a financial custodian bank in Chicago to oversee transfers, integrating with Tawasal's digital platform to connect millions of users and support transactions across regions. This infrastructure aims to ensure compliance with Paris Agreement requirements and prevent double-counting errors in international carbon market cooperation.",1/27/26 18:57,18a,
29/1/2026,https://www.linkedin.com/posts/carbon-herald_un-moves-to-operationalize-article-6-and-activity-7422197203550527488-7NLw,UN Launches Digital Infrastructure to Operationalize Article 6 Paris Agreement,"The United Nations Framework Convention on Climate Change has awarded a multi-year contract to Trovio to build digital infrastructure supporting Article 6 of the Paris Agreement. The infrastructure includes registries for Article 6.2 International Transferred Mitigation Outcomes and Article 6.4 credits, an interoperability hub to align national and international systems, and a minimum viable product for pilot testing. The project was procured by the United Nations Development Programme in collaboration with the UNFCCC Secretariat.

This infrastructure development represents the transition from policy design to operational delivery of international carbon market mechanisms. The digital systems are intended to establish the foundational architecture for cross-border carbon credit transfers, enabling transparency, integrity, and secure cooperation as countries scale their climate mitigation efforts.",1/28/26 16:38,27b,
28/1/2026,https://www.resourcewise.com/blog/us-biomass-based-diesel-2026-a-tipping-point-for-growth?hsLang=en,US Biomass-Based Diesel Market Expects Record Growth In 2026 Amid Policy Uncertainty,"The US biomass-based diesel industry is experiencing optimistic sentiment following the Clean Fuels Conference, with expectations for approximately 2 billion additional gallons of mandated volumes under the Renewable Fuel Standard in 2026, representing the largest year-over-year increase in the program's history. However, this growth trajectory depends on finalization of key policies, including RFS2 rules and Section 45Z carbon-adjusted tax credits, which are expected by end of Q1 2026 but have already faced delays. Many biodiesel plants remained idled in 2025 due to uncertainty around tax incentives that could provide up to $1 per gallon in support.

The biomass-based diesel sector operates as a policy-driven market where federal mandates and tax incentives are essential to financial viability. A significant market shift is occurring in feedstock sourcing, with the carbon-centric 45Z framework and RFS priorities now favoring domestic production over imports such as used cooking oil and animal fats. Import volumes have declined to near zero in 2025, creating pressure on domestic feedstock supplies and highlighting the need to develop scalable, lower-carbon input sources to sustain projected production growth.",1/27/26 17:51,21a,
1/30/2026,https://www.openpr.com/news/4369401/renewable-diesel-market-is-set-to-reach-us-48-33-billion-by-2032,Renewable Diesel Market Projected To Reach 48.33 Billion Dollars By 2032,"The global renewable diesel market reached USD 24.67 billion in 2024 and is forecast to expand to USD 48.33 billion by 2032, growing at a compound annual growth rate of 8.77 percent. North America leads market expansion with a 46.5 percent share, driven by stricter emission regulations, decarbonization initiatives, and increased waste-based feedstock availability across transportation, power generation, and industrial applications.
 
 Recent regulatory developments and corporate activity have accelerated market growth. The U.S. Environmental Protection Agency established record biomass-based diesel volume obligations, while clarified tax credit guidance provided production incentives. Key industry players including Phillips 66, Marathon Petroleum, and ENEOS have expanded or launched renewable diesel production facilities, with strategic acquisitions strengthening feedstock supply chains and production capacity throughout North America and Asia Pacific regions.",1/29/2026 14:15,8c,
28/1/2026,https://www.whalesbook.com/news/English/energy/SAF-Scale-Up-Honeywell-TPL-Partner-with-SAF-One/6978b893657adf9c86c626ad,SAF One Energy Forms Strategic Partnership To Scale Sustainable Aviation Fuel Production,"SAF One Energy Management Limited announced a strategic alliance with Honeywell UOP and Tata Projects Limited to expand sustainable aviation fuel production capacity globally, with particular focus on India. The partnership leverages Honeywell UOP's Ecofining process technology, which converts waste materials such as used cooking oil and animal fats into renewable diesel and sustainable aviation fuel, while Tata Projects serves as the integrated engineering, procurement, and construction partner for facility development.

The collaboration supports SAF One's rapid deployment strategy amid strong regulatory and market drivers for SAF adoption. Industry projections indicate the SAF market could exceed $25 billion by 2030, with expected compound annual growth of 65.5 percent. SAF One's recent acquisition of Green Biotrade enhances feedstock supply chain management, while regulatory mandates including the European Union's ReFuelEU Aviation Regulation and corporate sustainability commitments continue to accelerate demand for alternative aviation fuels.",1/27/26 13:08,25a,5
29/1/2026,https://www.itln.in/amp/aviation/honeywell-tata-projects-and-saf-one-partners-to-enable-saf-production-1357958,"Honeywell, Tata Projects, SAF+ One Partner To Scale Sustainable Aviation Fuel Production","Honeywell, Tata Projects, and SAF+ One announced a strategic partnership to expand sustainable aviation fuel (SAF) production, beginning in India and extending to additional regions. The collaboration leverages Honeywell's proprietary technology that converts renewable biomass and waste materials into high-quality fuel compatible with existing aircraft infrastructure without mechanical modifications. Tata Projects contributes large-scale infrastructure development expertise while SAF+ One focuses on sustainable production pathways and feedstock sourcing.

The partnership addresses the aviation industry's need to reduce carbon emissions and comply with international environmental regulations. As global air travel demand increases, SAF is positioned as the primary decarbonization solution for commercial aviation. The collaboration aims to transition SAF from a niche alternative to a mainstream commodity, combining advanced technology with large-scale infrastructure capabilities to make aviation's future economically viable and environmentally responsible.",1/28/26 13:40,17b,5
28/1/2026,https://www.openpr.com/news/4364549/bio-based-sustainable-aviation-fuel-market-outlook-us-420-04,Bio-Based Sustainable Aviation Fuel Market Projected to Reach $4.77 Billion by 2032,"The global bio-based sustainable aviation fuel market is experiencing rapid expansion, growing from $420.04 million in 2024 to an anticipated $4.77 billion by 2032 at a compound annual growth rate of 31.0%. Major industry players including Gevo, Neste, World Energy, SkyNRG, and Indian Oil are driving this growth through facility expansions, production partnerships, and technology deployments across North America, Asia-Pacific, and Europe. Key developments include alcohol-to-jet production facilities, municipal waste conversion technologies, and HEFA-based processing methods that improve fuel yield and sustainability metrics.

Regional initiatives are accelerating market adoption, with the United States leading through major carrier partnerships and established SAF supply chains, Japan advancing through government subsidies and airline collaborations, and Asia-Pacific expanding through commercial-scale operations in Singapore, Australia, and India. The sector is consolidating through strategic mergers and acquisitions, including technology acquisitions by Gevo, regional expansions by SkyNRG, and portfolio strengthening by Indian Oil. Technological partnerships between major energy companies and SAF specialists are establishing integrated supply ecosystems to meet growing airline blending mandates and carbon neutrality aviation targets.",1/27/26 16:18,22a,
28/1/2026,https://www.businesstimes.com.sg/companies-markets/keppel-chandra-asris-aster-assess-development-jurong-island-sustainable-aviation-fuel-plant,Keppel and Aster to Assess Jurong Island Sustainable Aviation Fuel Plant,"Keppel's infrastructure division has partnered with Chandra Asri's joint venture Aster to evaluate the development of a commercial-scale sustainable aviation fuel facility on Jurong Island in Singapore. The proposed plant would convert low-carbon ethanol into jet fuel with an annual production capacity of up to 100,000 tonnes. The companies will conduct front-end engineering design studies to assess technical specifications, capital requirements, and financing structures needed to proceed with a final investment decision, building on a completed feasibility study that validated the project's technical and commercial viability.

The facility would represent one of Asia's first purpose-built ethanol-to-jet sustainable aviation fuel plants and is designed to support Singapore's national sustainable aviation fuel targets while meeting growing regional airline demand. The Jurong Island location provides advantages through access to existing industrial infrastructure and logistics networks. The partnership combines Aster's refining and chemical expertise with Keppel's experience in developing and operating complex energy and environmental assets, with the project expected to offer flexibility in sourcing bioethanol feedstocks as regional markets evolve.",1/28/26 4:43,33a,
29/1/2026,https://www.openpr.com/news/4366895/sustainable-aviation-fuel-saf-market-to-reach-usd-39-28,Global Sustainable Aviation Fuel Market Projected to Reach USD 39.28 Billion by 2035,"The global sustainable aviation fuel market is projected to experience substantial growth, expanding from USD 1.45 billion in 2024 to approximately USD 39.28 billion by 2035, representing a compound annual growth rate of 35.0%. This expansion is driven by regulatory mandates including CORSIA and ReFuelEU Aviation requirements, airline sustainability commitments through long-term offtake agreements, declining production costs, and technological improvements in SAF production processes. Sustainable aviation fuel, produced from renewable or waste-based feedstocks such as used cooking oil, agricultural residues, and synthetic pathways, can reduce lifecycle greenhouse gas emissions by up to 80% compared to conventional jet fuel.

The aviation industry is increasingly recognizing SAF as the primary near- and medium-term solution for decarbonizing existing aircraft fleets to meet net-zero emission targets by 2050. Airlines, airports, aircraft manufacturers, and fuel producers are collaborating to secure SAF supply chains and establish production capacity through multi-billion-dollar investments. Ongoing technological innovations in catalytic processes and power-to-liquid technologies are further reducing production costs and expanding viable feedstock options, positioning SAF as a central pillar of aviation's energy transition.",1/28/26 11:51,41b,
1/30/2026,https://www.whalesbook.com/news/English/Energy/IOC-Akasa-Air-Forge-SAF-Pact-Amid-Green-Aviation-Push/697be2bd5fc43f26c5450dab,Indian Oil Corporation and Akasa Air Explore Sustainable Aviation Fuel Supply Partnership,"Indian Oil Corporation Limited and Akasa Air signed a Letter of Intent at Wings India 2026 to investigate the supply of Sustainable Aviation Fuel. The preliminary agreement establishes a collaborative framework to assess potential SAF volumes, delivery logistics, timelines, and approved feedstocks and production methods to support Akasa Air's sustainability objectives.
 
 The partnership reflects broader industry momentum in India's aviation decarbonization efforts, aligned with the nation's net-zero 2070 target and a planned 1% SAF mandate for international flights by 2027. India's aviation fuel market is projected to reach USD 153.25 million by 2030, with SAF identified as critical to achieving 53-66% of sectoral net-zero goals. Indian Oil has established multiple SAF collaborations, including agreements with Air India and LanzaJet, while competitors like BPCL and Reliance Industries are pursuing parallel initiatives.",1/29/2026 22:58,31c,
1/30/2026,https://www.aol.com/finance/asia-next-big-frontier-sustainable-064110141.html,Asia Emerges as Major Sustainable Aviation Fuel Market With New Mandates,"Asian governments are implementing regulatory requirements to increase sustainable aviation fuel (SAF) adoption, positioning the region as a significant growth frontier for the industry. Singapore mandated that SAF comprise 1% of jet fuel at its airports by 2026, with plans to reach 5% by 2030. South Korea requires SAF on international flights starting in 2027, targeting 7-10% adoption by 2035, while Thailand is developing national SAF standards. These policy commitments follow a similar pattern seen in Europe, where early adopters prompted neighboring countries to establish their own requirements. The Neste facility in Singapore currently produces one million tonnes of SAF annually by converting organic waste products like used cooking oil and animal fats into jet fuel, with most output exported to Australia and Europe. Demand for SAF in Southeast Asia is projected to increase substantially, from 15,000 barrels per day in 2030 to over 700,000 barrels daily by 2050, alongside corresponding production expansion. Malaysia recently opened its first commercial-scale SAF facility with annual capacity of 420,000 metric tonnes, reflecting growing regional investment in sustainable aviation fuel infrastructure.",1/28/2026 21:55,45c,
28/1/2026,https://www.notopedia.com/board-details/48094/1/Government-Expands-Carbon-Credit-Trading-Scheme-With-New-GEI-Targets,India Expands Carbon Credit Trading Scheme to Cover 490 Industrial Entities,"India's Union government extended its Greenhouse Gas Emission Intensity (GEI) regulatory framework in January 2026 by bringing 208 additional industrial entities under mandatory compliance through the Carbon Credit Trading Scheme (CCTS). This expansion raises the total number of regulated participants in the Indian Carbon Market to 490, significantly broadening the scope of sectors required to meet emissions reduction targets while maintaining production growth.

The GEI approach measures emissions relative to industrial output rather than in absolute terms, allowing companies to reduce pollution intensity per unit produced without restricting overall production volumes. Under the scheme, firms exceeding their assigned reduction targets generate tradeable carbon credits, while those falling short must purchase credits to achieve compliance. The Ministry of Environment, Forest and Climate Change oversees target-setting, monitoring, and enforcement, creating a market-driven system that incentivizes investment in cleaner technologies and operational efficiency across India's most emission-intensive industries.",1/27/26 11:44,30a,6
29/1/2026,https://solarquarter.com/2026/01/28/ministry-of-environment-forest-and-climate-change-expands-ghg-emission-intensity-targets-to-refineries-petrochemicals-and-textiles-under-2025-amendment/,India Expands Carbon Credit Trading Scheme With New Industrial Emission Targets,"India's Ministry of Environment, Forest and Climate Change notified amended Greenhouse Gas Emission Intensity Target Rules on January 13, 2026, expanding the mandatory scope of the Carbon Credit Trading Scheme to include four additional energy-intensive sectors: secondary aluminium, petroleum refineries, petrochemicals, and textiles. The amendment establishes emission intensity targets for obligated entities using 2023–24 as the baseline, with a phased compliance approach beginning in 2025–26 and continuing through 2026–27. Petroleum refineries will operate under a Normalized Refinery Generation Factor that adjusts targets based on facility complexity, and major industrial operators including Bharat Petroleum Corporation Limited, Indian Oil Corporation, Reliance Industries, and textile manufacturers have been designated as obligated entities.

The regulatory expansion aims to deepen industrial participation in emissions control while establishing a functional domestic carbon market mechanism. Companies exceeding their emission intensity reduction targets can earn and trade carbon credits, while underperformers must purchase credits or face penalties. The framework links emission reductions to production efficiency rather than absolute output, enabling industrial growth alongside environmental impact reduction and supporting India's progression toward net-zero emissions goals.",1/28/26 12:09,21b,6
28/1/2026,https://www.indiaenergyweek.com/conference/focus-sessions/carbon-markets-in-transition-from-paris-agreement-cooperation-to-india-s-carbon-credit-trading-scheme/,India Energy Week Examines International and Domestic Carbon Market Architectures,"Carbon markets are shifting toward policy-anchored mechanisms that support national climate commitments and industrial decarbonization. The Paris Agreement's Article 6 establishes structured pathways for international cooperation through bilateral credit transfers and a UN-supervised mechanism, while India has operationalized its domestic Carbon Credit Trading Scheme to price greenhouse gas emissions and incentivize compliance and over-compliance through tradable carbon credit certificates. An India Energy Week focus session will explore how international frameworks under Article 6 and India's domestic carbon market architecture interact and evolve to mobilize climate finance while maintaining environmental integrity.

India's Carbon Credit Trading Scheme operates through two mechanisms: a compliance pathway requiring obligated entities to meet emission intensity reduction targets, and an offset pathway allowing non-obligated entities to earn credits through eligible projects. These parallel structures at the international and domestic levels create opportunities for Indian industry, policymakers, and investors to participate in carbon markets aligned with India's enhanced Nationally Determined Contributions under the Paris Agreement.",1/27/26 14:29,23a,
29/1/2026,https://www.climatechangecareers.com/job/giz-viet-nam/bonn-germany/intern-m-f-d-at-the-global-carbon-markets/,Global Carbon Markets Project Supports Nations Implementing Climate Instruments,"The Global Carbon Market project provides technical assistance to public and private sector stakeholders across Eastern Africa, the Caribbean, and Southeast Asia in establishing and deploying market-based climate mitigation tools. The initiative conducts research, delivers capacity-building programs, and implements pilot initiatives to support countries in achieving their Nationally Determined Contributions and Long-Term Strategies while developing cooperative approaches under Article 6 of the Paris Agreement.

The project facilitates knowledge transfer and strategic guidance on carbon market mechanisms, trains government negotiators for climate conferences, and fosters regional cooperation on emissions trading. By bridging public authorities and private enterprises, the initiative aims to advance understanding of how market-based instruments can effectively contribute to national and international climate objectives.",1/28/26 20:28,33b,
